,ticker,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio,activity_domain_Basic Materials,activity_domain_Communication Services,activity_domain_Consumer Cyclical,activity_domain_Consumer Defensive,activity_domain_Energy,activity_domain_Financial Services,activity_domain_Healthcare,activity_domain_Industrials,activity_domain_Real Estate,activity_domain_Technology,activity_domain_Utilities
0,A,0.01327001079112977,0.0027554844232827395,0.0039641481005984885,0.00426392301255889,0.004837056765960556,0.0031762044878504824,0.012400835552217979,0.11976830898239833,0.09264115032059236,0.12272603855552539,0.02711902595687898,0.35077708536676927,0.49220929387827883,0.18708223530041596,0.113431322858591,0.005146124915471902,0.35398209202903463,0.0610549997770653,0.6819694374148247,0.09375282196524762,0.8919556510798644,0.8400008634707458,0.684729195494257,0.8834915111163324,0.018168885480168272,0.5907077098620586,0.08087304662275605,0.8682312979415134,0.8816291990779498,0.9197953996360777,0.49485942490051765,0.3473811206186698,0.7922395289583006,0.7228036618415284,0.004428842509822274,0.044173613385170944,0.041940798902072106,0.11353529031795415,0.3639420397547837,0.005881512084400114,0,0,0,0,0,0,1,0,0,0,0
14,AAPL,1.0,0.1587327493197337,0.2304354618644006,0.2051998020091541,0.24316475982214533,0.0999340950823411,0.16947013635099126,0.21625968251625075,0.23548335423958666,0.15965245723594892,0.02903376986449723,0.35712140551092425,0.49442454891744947,0.18621688150872615,0.11981753674607198,0.005598701241488407,0.36657342206369176,0.061036380289349365,0.8349830663406819,0.31604532229792,0.9145544791921308,0.9017889197330083,0.7225008123324046,0.8886785116287604,0.014793038282391705,0.589784746355986,0.11497481596280514,0.8703514716746228,0.8835746066653614,0.9224783392973439,0.7359932853412364,0.5461267263024578,0.8896391633394566,0.7853560663018458,0.0027956346272846877,0.04207804088661412,0.04113712646062101,0.10403249461834872,0.3686605981794539,0.04222966482603161,0,0,0,0,0,0,0,0,0,1,0
18,ABBV,0.09613329914849668,0.0233680884964934,0.035385564041468594,0.0344704434437906,0.031101505903401532,0.013565878642544084,0.02976298400469391,0.12640111224672881,0.11059627168060474,0.11512354059190875,0.029522224942971277,0.3601621743374127,0.4931134796085525,0.19099964527956273,0.16502787633046126,0.006671541683341284,0.3382913131181106,0.06073003703977343,0.720842186574199,0.15656629544263495,0.8978110217515466,0.8653981368077969,0.6953441502919823,0.8674610222778756,0.11277796095225823,0.5882648337827492,0.09741702182616559,0.8718416855646918,0.8875437058735811,0.933022556788336,0.4448048977252648,0.3039290769059694,0.7504309466258504,0.6916509236825399,0.01686632820651724,0.05686500459244175,0.04420223100248406,0.18426971417720345,0.3538361508452536,0.019127798617869937,0,0,0,0,0,0,1,0,0,0,0
24,ABEV,0.015998699878775363,0.03208507124626027,0.04587908727319111,0.04385749384346287,0.04917035906101967,0.016140126106746613,0.031660183540393225,0.13791260867936228,0.12087215819672986,0.004887320119467824,0.023922966687407607,0.33895187326375853,0.48863776024369765,0.18156884347791313,0.054738976178408526,0.002704286098353148,0.3406664087673898,0.07804952927384849,0.6985454894381758,0.08083527871373254,0.8911640759576289,0.8365531680121632,0.6850707969057303,0.8830425533763373,0.08052723147055792,0.5877199246639879,0.0009363295880149813,0.8676838827384002,0.8810088593897096,0.9188860405039956,0.47357478353045385,0.31997261435172275,0.8076290651047768,0.7259020175748235,0.010201149297353662,0.05100144569102854,0.04518861504973973,0.12756243272922949,0.3645550808099573,0.00047673110863062553,0,0,0,1,0,0,0,0,0,0,0
28,ABM,0.0010505219041818054,0.003141361903745571,0.00390719922532172,0.004748093262199243,0.0060852793140147195,0.002171208223935875,0.01057975925741076,0.11854506143144265,0.09015363710442621,0.07901167526472984,0.026386343339167912,0.3428560702755462,0.48695254792147075,0.1839731797614106,0.09204257475924989,0.0028444289765186975,0.3340081376401707,0.060913465969193226,0.6806140075765359,0.0716929491528765,0.8906130997002978,0.8329298866382309,0.6771167731299209,0.8815659815884358,0.026949881281126426,0.5906481630090892,0.028677515174996775,0.8685681095977665,0.8818081803299351,0.9200264834061375,0.38889607624517,0.2401381746435171,0.7213939063526216,0.6240546423250543,0.007185198523655625,0.04567763744947022,0.041027717646875815,0.1122016255599389,0.3666914360022293,0.0015457098375680186,0,0,0,0,0,0,0,1,0,0,0
33,ABT,0.06535616305324576,0.017571070349043753,0.02711915761025448,0.02611279602631697,0.02982861049276229,0.008751989738701452,0.02224980497536562,0.12619516685412321,0.09953743537092159,0.08905783328808037,0.026923192592996848,0.350883388392522,0.49267898219772677,0.18435022736284792,0.0996452103395844,0.005933740706664758,0.3576567293862341,0.061579025886195335,0.6902169729861721,0.07591829895171238,0.8913280508476236,0.8386922413712643,0.6841899298667244,0.8820506192914724,0.06342989299417828,0.5898765598882517,0.06760299625468165,0.8681846328248279,0.881661562900521,0.9200454267655296,0.45639506834399574,0.32328847005982636,0.7801542556966989,0.6488765049921169,0.0051923628007043265,0.04494133315306777,0.04212738678948757,0.10751049591483482,0.3386958944826306,0.004489087812010774,0,0,0,0,0,0,1,0,0,0,0
52,ACGL,0.010294944313377656,0.003863224508567536,0.005605905429148413,0.006470494213736661,0.006351932210981076,0.0033950857228087425,0.013991944040417589,0.1209367869731172,0.09413144121064095,0.14091773011132228,0.02683572201136403,0.3558825737667993,0.4945827814202473,0.1882429493683113,0.12721743537759758,0.002710879433282935,0.33138023264201105,0.06045098907442199,0.683442257091918,0.08054942854279644,0.8903552136173368,0.8368389771108867,0.6826469599018192,0.8823701608327146,0.0,0.5886714437569109,0.049037840630246674,0.867872461202525,0.88122531229766,0.9192445660316354,0.36452123499632766,0.26468149368561206,0.7521549225625326,0.6349433737469419,0.002571063181651553,0.041840799435523365,0.04103401685118584,0.10359771655318213,0.36109975849897835,0.001901966451143993,0,0,0,0,0,1,0,0,0,0,0
63,ACM,0.004348857488964619,0.005291577013119253,0.008387672146615382,0.01016188403988303,0.018865381946786632,0.0022499614042063468,0.01065854597152171,0.11822734385757748,0.0891296073155117,0.0819983708932935,0.025184743846121762,0.3402657857196486,0.4842976687383838,0.17657362757857786,0.09721236695387735,0.005385853680449807,0.3519365280296902,0.061513737979940905,0.6813355025185104,0.06764338179123945,0.8904988812062051,0.8322211443145799,0.6741821425392124,0.8795002891459927,0.04707220643191822,0.5893318072383772,0.057116104868913865,0.8689287528628364,0.8823691353461759,0.9205948767501522,0.3602616789959221,0.22274943506506112,0.7077038786367329,0.558204309858547,0.0028098705472659772,0.04200077743968862,0.04085821317853898,0.10291911878797431,0.3634776147129854,0.004543675968427636,0,0,0,0,0,0,0,1,0,0,0
64,ACMR,0.00026071660152657104,0.00015539317174284267,0.000147030671705966,0.0003953564358549527,0.00011231946860605386,0.001983545102701168,0.010430969409324468,0.11857651490958605,0.08986759417412384,0.02144990496877545,0.02367053310285222,0.3382761468578722,0.4877109698701671,0.18078812439610611,0.06507856056766347,0.003077400609941001,0.33262381248023287,0.0631958605125818,0.680265538135112,0.0700353371983565,0.889621850511947,0.8318332804790812,0.6839801979069644,0.8830681786898659,0.0,0.5869565139081084,0.007994317448017565,0.8677653020660868,0.8810358026874697,0.9195151644711188,0.36599963521472584,0.24954118452893703,0.7735762955019653,0.6895714529165005,0.002650703441565339,0.04288517731721073,0.04162016565676709,0.10656596245675287,0.3605052944454765,0.001066910485943856,0,0,0,0,0,0,0,0,0,1,0
65,ACN,0.06950420909819013,0.024793212608187502,0.03181768487714189,0.03336791403262953,0.040399635850604285,0.00869717345654962,0.020293469612508826,0.12723823601494155,0.10241645511820185,0.30409991854466467,0.03364478580529222,0.3707860950521811,0.5050939405346794,0.19553886636651055,0.17911809427268122,0.005086407695463791,0.36187973436144266,0.06049122594380967,0.69560297112442,0.10284915402648563,0.8929208656449686,0.8437745923908396,0.6926274195406548,0.8849208588695159,0.0365938043152241,0.5890964894985128,0.20037453183520598,0.8678027857377789,0.8811967932795409,0.9191899415625775,0.533546982526402,0.37753574421090147,0.8521315643469756,0.7818441473344613,0.008857439127194696,0.04828684278131369,0.044199344328836626,0.12247754173168218,0.3657997399219767,0.007015502973611815,0,0,0,0,0,0,0,0,0,1,0
