,ticker,activity_domain,market_cap,net_revenue,net_income,earnings_per_share,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity,dividend_payout_ratio,year_over_year_revenue_growth,price_to_free_cash_flow,stock_price,debt_to_equity_ratio,return_on_assets,return_on_investments,revenue_per_employee,price_to_earnings_growth,price_to_book_ratio
0,MMM,Industrials,58206912512,"[34229000000.0, 35355000000.0, 32184000000.0, 32136000000.0]","[5777000000.0, 5921000000.0, 5384000000.0, 4570000000.0]","[9.68, 10.21, 10.23, 9.32, 7.92]",8.89,10.899794,11.868391,0.9183884297520662,-2560000000,[-1],-1.0,"[3.289608226942067, -8.96902842596521, -0.14914243102162564, 2.8566066218571073]",-23.09911003125,107.19,"[1.0968178740690588, 1.1659720844082822, 1.4732812620833655, 2.0304167489630656]","[0.12435690453126681, 0.12578602991162474, 0.11372085163906726, 0.1023309971114445]","[5.974146845915202, 22.599236641221374, 25.1588785046729, 23.316326530612244]","[372054.347826087, 384293.47826086957, 349826.0869565217, 349304.347826087]",7.6,7.468677
1,AOS,Industrials,10928106496,"[3753900000.0, 3538900000.0, 2895300000.0, 2992700000.0]","[235700000.0, 487100000.0, 344900000.0, 370000000.0]","[1.59, 1.52, 3.05, 2.13, 2.24]",3.86,45.68553,18.818653,2.4276729559748427,402049984,[-1],0.64839995,"[-5.72737686139748, -18.18644211478143, 3.364072807653784, 24.88722237444448]",22.39546762424445,72.3,"[0.20993305487211764, 0.11952843576028818, 0.0798571660444733, 0.1936045116390689]","[0.07073192689733818, 0.1401968685240617, 0.10912139715885721, 0.1209941137998692]",[-1],"[312825.0, 294908.3333333333, 241275.0, 249391.66666666666]",2.51,5.78897
2,ABT,Healthcare,187197964288,"[43653000000.0, 43075000000.0, 34608000000.0, 31904000000.0]","[6933000000.0, 7071000000.0, 4495000000.0, 3687000000.0]","[3.29, 3.989538, 4.008317, 2.537784, 2.091911]",4.62,32.720367,23.300867,1.4042553191489362,-1,[-1],0.6689,"[-1.324078528394383, -19.656413232733605, -7.813222376329172, 26.08450631895687]",-1.0,107.54,"[0.48290901161205907, 0.5308641975308642, 0.5993472425573451, 0.6077586206896551]","[0.09313791343131196, 0.0940342571413373, 0.061958978882946464, 0.054310840072473374]","[9.050913838120104, 8.665441176470589, 5.475030450669915, 4.1755379388448475]","[379591.3043478261, 374565.2173913043, 300939.1304347826, 277426.0869565217]",-11.64,5.0580273
3,ABBV,Healthcare,260638556160,"[58054000000.0, 56197000000.0, 45804000000.0, 33266000000.0]","[11836000000.0, 11542000000.0, 4616000000.0, 7882000000.0]","[4.25, 6.65, 6.48, 2.73, 5.3]",11.05,34.76,13.36923,2.6,-1,[-1],1.1893001,"[-3.198745995108003, -18.4938697795256, -27.37315518295345, 68.40918367101546]",-1.0,149.05,"[3.667033731308682, 4.976895119418484, 6.581217497705721, -8.165442976015663]","[0.08527070350491697, 0.07876939035958752, 0.030657855411284164, 0.08844751164226]","[49.11203319502075, 41.667870036101085, 15.754266211604095, 84.75268817204301]","[1161080.0, 1123940.0, 916080.0, 665320.0]",-3.27,19.631893
4,ACN,Technology,196966531072,"[61594305000.0, 50533389000.0, 44327039000.0, 43215013000.0]","[6877169000.0, 5906809000.0, 5107839000.0, 4779112000.0]","[11.21, 10.87, 9.31, 8.03, 7.49]",12.46,27.832293,25.040129,1.111507582515611,8869508096,[-1],0.3859,"[-17.95769267954237, -12.281681721366441, -2.5086855000623887, 47.055843431077996]",22.554127999190452,317.13,"[0.15044217683997585, 0.17956704003303517, 0.20500723977823188, 0.001572517900421404]","[0.14550731549302748, 0.1368081915621196, 0.13775708803190023, 0.1604273666090632]","[21.62822198180972, 17.925168272002818, 15.739964993806122, 19.88703066417547]","[84145.22540983607, 69034.6844262295, 60556.06420765027, 59036.90300546448]",3.16,7.769118
5,ATVI,Communication Services,71996440576,"[7528000000.0, 8803000000.0, 8086000000.0, 6489000000.0]","[1513000000.0, 2699000000.0, 2197000000.0, 1503000000.0]","[2.73, 1.94, 3.47, 2.85, 1.96]",4.42,33.545788,20.719458,1.619047619047619,2823375104,[-1],0.0,"[16.936769394261425, -8.14495058502783, -19.750185505812514, 34.16550889197103]",25.52797707168562,91.68,"[0.1876526529127475, 0.205011648389113, 0.2397419698078074, 0.20890277235454902]","[0.05525325932147683, 0.10771871008939975, 0.09507118438703535, 0.07573696145124717]",[-1],"[579076.9230769231, 677153.8461538461, 622000.0, 499153.8461538461]",1.7,3.4646087
6,ADM,Consumer Defensive,46593527808,"[101848000000.0, 85249000000.0, 64355000000.0, 64656000000.0]","[4340000000.0, 2709000000.0, 1772000000.0, 1379000000.0]","[7.5, 7.72, 4.8, 3.16, 2.45]",6.67,11.406667,12.826087,0.8893333333333333,5489500160,[-1],0.22670001,"[-16.297816353782107, -24.5093784091309, 0.4677181260197343, 54.48527473397674]",8.4302095420214,84.97,"[0.3775136735617058, 0.4234286221590909, 0.554090635652697, 0.4745656597276569]","[0.11720859889813115, 0.07584835927875462, 0.0527679342485334, 0.03134304611678069]","[0.793854033290653, 0.5125827814569537, 0.3606757581925504, 0.2687061574434918]","[2523488.6025768085, 2112215.064420218, 1594524.2814667989, 1601982.1605550048]",-19.67,1.8386779
7,ADBE,Technology,240151904256,"[17606000000.0, 15785000000.0, 12868000000.0, 11171297000.0]","[4756000000.0, 4822000000.0, 5260000000.0, 2951458000.0]","[10.51, 10.13, 10.1, 10.94, 6.07]",17.8,50.1313,29.600002,1.6936251189343483,6928124928,[-1],0.0,"[-10.343064864250824, -18.479569211276527, -13.185444513521915, 64.96741318398392]",34.458069171815026,523.76,"[0.32972742153583373, 0.3158072582280192, 0.35494571773220746, 0.39299203098150026]","[0.17507822565801584, 0.1770125913145626, 0.2166035249547027, 0.14215398990482797]",[-1],"[602140.9760935736, 539861.1443619822, 440097.1305448203, 382068.3675912309]",2.37,16.19226
8,ADP,Industrials,101529108480,"[17198800000.0, 16046500000.0, 14583000000.0, 14044600000.0]","[3412000000.0, 2948900000.0, 2598500000.0, 2466500000.0]","[7.82, 8.25, 7.04, 6.1, 5.73]",10.02,31.427109,24.526945,1.2813299232736572,4785312256,[-1],0.5834,"[-6.69988603856083, -9.120368927803572, -3.691970102173764, 28.250010395454485]",21.410202825435015,248.0,"[0.9514975349804793, 1.0411434595231452, 0.5869737747129681, 0.40836549494106605]","[0.06694002471993879, 0.04675731985374563, 0.053277974268286434, 0.06297634397620355]",[-1],"[272996.8253968254, 254706.3492063492, 231476.19047619047, 222930.15873015873]",2.01,28.862007
9,AAP,Consumer Cyclical,4221111552,"[11154722000.0, 10997989000.0, 10106321000.0, 9709003000.0]","[501872000.0, 616108000.0, 493021000.0, 486896000.0]","[6.73, 8.32, 9.62, 7.17, 6.87]",6.78,10.551263,10.473452,1.0074294205052006,58499000,[-1],0.6686,"[-1.4050820809339757, -8.107554935725068, -3.9313811623438437, 15.337337932638398]",73.19345829843245,72.03,"[1.3634122035738594, 1.0778955666208803, 0.856151910711356, 0.7789281225196044]","[0.041758351845099906, 0.05052463837547806, 0.04164156735899651, 0.043285319630796036]",[-1],"[278868.05, 274949.725, 252658.025, 242725.075]",4.36,1.5906188
