,ticker,activity_domain,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio
0,A,Healthcare,37113995264,6848000000.0,6319000000.0,5339000000.0,5163000000.0,1254000000.0,1210000000.0,719000000.0,1071000000.0,4.53,4.19,3.98,2.33,3.41,5.98,27.737307,21.011705,4.638345474613686,867124992,0.24781999,0.23709585933068633,0.22453145295973279,0.14754771188179766,0.22556866048862678,0.1916,43.14184315425659,126.65,0.5235394214407261,0.5064019298571163,0.48409603940077983,0.1192468619246862,0.11303129378794956,0.07468577957826945,0.11330935251798561,6.430769230769231,6.54054054054054,4.550632911392405,10.5,2.11,6.41759
1,AA,Basic Materials,5412686336,12451000000.0,12152000000.0,9286000000.0,10433000000.0,-102000000.0,429000000.0,-170000000.0,-1125000000.0,-8.55,-0.68,2.3,-0.91,-6.07,3.16,-1.0,9.601266,-1.1229550877192982,-172000000,-0.22429001,-0.020166073546856466,0.09249676584734799,-0.05171889260724064,-0.2756001959823616,-1.0,-32.91083416372093,31.73,0.3572558323448003,0.37235877533419576,0.7499239428049893,-0.006899817357775824,0.028594281143771244,-0.011437029063509149,-0.07684426229508197,-0.08923884514435695,0.3577981651376147,-0.16175071360608945,-1.0107816711590296,-3.31,1.1181543
2,AAC,Financial Services,766769152,0.0,0.0,-1.0,-1.0,20983590.0,15849072.0,-1.0,-1.0,-0.07,0.17,0.13,-1.0,-1.0,-1.01,-1.0,-10.544554,150.6364857142857,4248913,-1.0,-1.0,0.017017441309928456,-1.0,-1.0,0.0,117.79933244102669,10.65,0.0015750901831272615,,13.212460779919319,-1.0,0.01582421736069386,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,AACG,Consumer Defensive,37271360,206820874.0,202209465.0,162167547.0,97770167.0,-47892909.0,-33649593.0,-92198032.0,-122154398.0,-0.22,-1.52,-1.14,-3.14,-5.04,-0.99,-1.0,-1.1919191,5.417814090909091,-1,-0.33159,-0.3346829645949503,-0.17920730532158083,-0.4646964323651684,-0.40685629730787337,0.0,-1.0,1.28,0.2547125219654238,0.21684754698606096,0.240815427996843,-0.1009409172802038,-0.06634706448939717,-0.16017140944217617,-0.18296058763584763,-1.2603397105263159,-0.8855156052631579,-2.0954098181818184,-2.6714200558710175,-0.06,0.29441118
4,AACI,Financial Services,98175424,0.0,-1.0,-1.0,-1.0,-3622794.0,-1.0,-1.0,-1.0,-0.59,-0.63452,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1209261,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,80.27152575002418,10.53,0.001707970109946412,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,AADI,Healthcare,145400144,15216000.0,1000000.0,14000000.0,-1.0,-60513000.0,-110090000.0,-3478000.0,-1.0,-2.55,-2.69,-12.41,-0.214269,-1.0,-2.92,-1.0,-2.037671,0.7990866666666667,-36746124,-0.51286,-0.38207958176009293,-0.8070759350761697,0.27976190476190477,-1.0,0.0,-3.9502337715945224,5.94,0.010487567717738575,0.004435288770288697,-0.824967824967825,-0.32845193962124875,-0.6971692736368817,-0.1847543160690571,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.1100745
6,AAIC,Real Estate,126487384,30532000.0,4384000.0,-55101000.0,28757000.0,5426000.0,-9515000.0,-67716000.0,13742000.0,0.11,0.09,-0.38,-2.0,0.31,0.27,40.545456,16.518518,150.16834545454546,-1,-1.0,0.024965491856078034,-0.042453608891387475,-0.2749665001827263,0.04199261721996773,0.0,-1.0,4.48,1.1767277077390264,0.5607535013630665,0.6767125512648718,0.005413451619146818,-0.011848783865231447,-0.05585336059631026,0.0034354020910404054,0.009399886702434511,-0.0176253968724414,-0.06495290348571757,0.41019671054595386,-2.39,0.6813321
7,AAL,Industrials,10159778816,48971000000.0,29882000000.0,17337000000.0,45768000000.0,127000000.0,-1993000000.0,-8885000000.0,1686000000.0,2.56,0.2,-3.09,-18.36,3.8,3.4,6.0742188,4.5735292,1.7865348437500002,1205874944,-1.0,-0.021900327642697018,0.2715258855585831,1.2938692296490462,-14.288135593220339,0.0,8.597462042365812,15.88,-7.533540265563028,-6.287738419618528,-5.973642056210863,0.0019624204215340875,-0.02999608681255832,-0.14328796284350406,0.028102341861821818,-1.0,-1.0,-1.0,-1.0,0.04,-1.0
8,AAMC,Financial Services,18076558,563000.0,0.0,0.0,15762000.0,-10812000.0,-6004000.0,39821000.0,-2613000.0,-7.42,-5.64,40.94,24.38,-1.77,-1.0,-1.0,-1.0,-1.0,-18819124,-0.25547,0.12028034264100568,0.0784549445954422,-0.23905317628978617,0.012566850063483513,0.0,-3.0685016369518587,32.84,-0.5893425297585938,-0.011224649801379888,-0.004052155746857328,-0.09190204595102297,-0.07369041190043694,0.39920001603977867,-0.049072265625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,AAME,Financial Services,37646672,187851000.0,199554000.0,195348000.0,198179000.0,1525000.0,4281000.0,12169000.0,-386000.0,-0.15,0.06,0.19,0.58,-0.04,-1.0,-1.0,-1.0,-1.0,22675750,0.00621,0.014922744219271379,0.030300242062200076,0.08388942506549014,-0.003260300353058432,0.0,1.7424944268657045,1.94,0.34979890990576656,0.2387922370227765,0.23257962222528608,0.004154588845541922,0.010641682782895751,0.030033046469901552,-0.001022175379873208,0.006883974558635664,0.015216031391728394,0.044402685543311685,-0.0015040992549643069,-1.0,0.3639053
