,ticker,activity_domain,market_cap,net_revenue_y1,net_revenue_y2,net_revenue_y3,net_revenue_y4,net_income_y1,net_income_y2,net_income_y3,net_income_y4,earnings_per_share_y0,earnings_per_share_y1,earnings_per_share_y2,earnings_per_share_y3,earnings_per_share_y4,forward_earnings_per_share,price_earnings_ratio,forward_price_earnings_ratio,projected_earnings_growth,free_cash_flow,return_on_equity_y0,return_on_equity_y1,return_on_equity_y2,return_on_equity_y3,return_on_equity_y4,dividend_payout_ratio,price_to_free_cash_flow,stock_price,debt_to_equity_ratio_y1,debt_to_equity_ratio_y2,debt_to_equity_ratio_y3,return_on_assets_y1,return_on_assets_y2,return_on_assets_y3,return_on_assets_y4,return_on_investments_y1,return_on_investments_y2,return_on_investments_y3,return_on_investments_y4,price_to_earnings_growth,price_to_book_ratio
0,MMM,Industrials,58206912512,34229000000.0,35355000000.0,32184000000.0,32136000000.0,5777000000.0,5921000000.0,5384000000.0,4570000000.0,9.68,10.21,10.23,9.32,7.92,9.73,10.899794,10.843782,-1,-2560000000,-0.13371,0.3911306702775897,0.39167824303763976,0.41636377697007193,0.4513134505234051,-1.0,-23.09911003125,107.19,1.0968178740690588,1.1659720844082822,1.4732812620833655,0.12435690453126681,0.12578602991162474,0.11372085163906726,0.1023309971114445,5.974146845915202,22.599236641221374,25.1588785046729,23.316326530612244,6.31,7.468677
1,AOS,Industrials,10928106496,3753900000.0,3538900000.0,2895300000.0,2992700000.0,235700000.0,487100000.0,344900000.0,370000000.0,1.59,1.52,3.05,2.13,2.24,3.86,45.68553,18.818653,-1,402049984,0.14866,0.13486296275104423,0.2658552559764218,0.18660390629226858,0.22198224142068634,0.64839995,22.39546762424445,72.3,0.20993305487211764,0.11952843576028818,0.0798571660444733,0.07073192689733818,0.1401968685240617,0.10912139715885721,0.1209941137998692,-1.0,-1.0,-1.0,-1.0,2.51,5.78897
2,ABT,Healthcare,187197964288,43653000000.0,43075000000.0,34608000000.0,31904000000.0,6933000000.0,7071000000.0,4495000000.0,3687000000.0,3.29,3.989538,4.008317,2.537784,2.091911,4.62,32.720367,23.300867,-1,5708125184,0.13926,0.18898217303603554,0.19750293279705045,0.13710956564177648,0.11859881626351004,0.6689,32.761489752331265,107.54,0.48290901161205907,0.5308641975308642,0.5993472425573451,0.09313791343131196,0.0940342571413373,0.061958978882946464,0.054310840072473374,9.050913838120104,8.665441176470589,5.475030450669915,4.1755379388448475,-11.64,5.0252075
3,ABBV,Healthcare,260638556160,58054000000.0,56197000000.0,45804000000.0,33266000000.0,11836000000.0,11542000000.0,4616000000.0,7882000000.0,4.25,6.65,6.48,2.73,5.3,11.05,34.76,13.36923,-1,-1,-1.0,0.6859858583516866,0.7490913811007269,0.3530131538696849,-0.9645129711209006,1.1893001,-1.0,149.05,3.667033731308682,4.976895119418484,6.581217497705721,0.08527070350491697,0.07876939035958752,0.030657855411284164,0.08844751164226,49.11203319502075,41.667870036101085,15.754266211604095,84.75268817204301,-3.27,19.631893
4,ACN,Technology,196966531072,61594305000.0,50533389000.0,44327039000.0,43215013000.0,6877169000.0,5906809000.0,5107839000.0,4779112000.0,11.21,10.87,9.31,8.03,7.49,12.46,27.832293,25.040129,-1,8869508096,0.30319,0.3110920569207122,0.3024747402125493,0.3004275051108988,0.33168148857439916,0.3859,22.554127999190452,317.13,0.15044217683997585,0.17956704003303517,0.20500723977823188,0.14550731549302748,0.1368081915621196,0.13775708803190023,0.1604273666090632,21.62822198180972,17.925168272002818,15.739964993806122,19.88703066417547,3.16,7.769118
5,ATVI,Communication Services,71996440576,7528000000.0,8803000000.0,8086000000.0,6489000000.0,1513000000.0,2699000000.0,2197000000.0,1503000000.0,2.73,1.94,3.47,2.85,1.96,4.42,33.545788,20.719458,-1,2823375104,0.11096,0.07862599386790002,0.15336098641968293,0.1461062711977123,0.11737602499023819,0.0,25.52797707168562,91.68,0.1876526529127475,0.205011648389113,0.2397419698078074,0.05525325932147683,0.10771871008939975,0.09507118438703535,0.07573696145124717,-1.0,-1.0,-1.0,-1.0,1.7,3.4646087
6,ADM,Consumer Defensive,46593527808,101848000000.0,85249000000.0,64355000000.0,64656000000.0,4340000000.0,2709000000.0,1772000000.0,1379000000.0,7.5,7.72,4.8,3.16,2.45,6.67,11.406667,12.826087,-1,5489500160,0.16655001,0.1784759633178435,0.12025035511363637,0.08883096049729296,0.07194657484217666,0.22670001,8.4302095420214,84.97,0.3775136735617058,0.4234286221590909,0.554090635652697,0.11720859889813115,0.07584835927875462,0.0527679342485334,0.03134304611678069,0.793854033290653,0.5125827814569537,0.3606757581925504,0.2687061574434918,-19.67,1.8386779
7,ADBE,Technology,240151904256,17606000000.0,15785000000.0,12868000000.0,11171297000.0,4756000000.0,4822000000.0,5260000000.0,2951458000.0,10.51,10.13,10.1,10.94,6.07,17.8,50.1313,29.600002,-1,6928124928,0.33681,0.3384812468863426,0.3258768669324863,0.396562123039807,0.28028628258558397,0.0,34.458069171815026,523.76,0.32972742153583373,0.3158072582280192,0.35494571773220746,0.17507822565801584,0.1770125913145626,0.2166035249547027,0.14215398990482797,-1.0,-1.0,-1.0,-1.0,2.37,16.19226
8,ADP,Industrials,101529108480,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.82,-1.0,-1.0,-1.0,-1.0,10.02,31.427109,24.526945,-1,4785312256,1.0133001,-1.0,-1.0,-1.0,-1.0,0.5834,21.410202825435015,248.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.01,28.862007
9,AAP,Consumer Cyclical,4221111552,11154722000.0,10997989000.0,10106321000.0,9709003000.0,501872000.0,616108000.0,493021000.0,486896000.0,6.73,8.32,9.62,7.17,6.87,6.78,10.551263,10.473452,-1,58499000,0.14596,0.18738586429131224,0.19694715101632168,0.13850803143801735,0.13718931745992835,0.6686,73.19345829843245,72.03,1.3634122035738594,1.0778955666208803,0.856151910711356,0.041758351845099906,0.05052463837547806,0.04164156735899651,0.043285319630796036,-1.0,-1.0,-1.0,-1.0,4.36,1.5906188
